student_id,age,school_type,parent_education,study_hours,attendance_percentage,internet_access,extra_activities,math_score,science_score,english_score,overall_score,final_grade,gender_female,gender_male,gender_other,travel_time_15-30 min,travel_time_30-60 min,travel_time_<15 min,travel_time_>60 min,study_method_coaching,study_method_group study,study_method_mixed,study_method_notes,study_method_online videos,study_method_textbook
1,14,0,4,3.1,84.3,1,1,42.7,55.4,57.0,53.1,e,False,True,False,False,False,True,False,False,False,False,True,False,False
2,18,0,3,3.7,87.8,1,0,57.6,68.8,64.8,61.3,d,True,False,False,False,False,False,True,False,False,False,False,False,True
3,17,1,4,7.9,65.5,0,0,84.8,95.0,79.2,89.6,b,True,False,False,False,False,True,False,False,False,False,True,False,False
4,16,0,1,1.1,58.1,0,0,44.4,27.5,54.7,41.6,e,False,False,True,True,False,False,False,False,False,False,True,False,False
5,16,0,1,1.3,61.0,1,1,8.9,32.7,30.0,25.4,f,True,False,False,False,True,False,False,False,True,False,False,False,False
6,19,0,0,3.8,69.6,1,1,51.5,78.3,63.9,63.5,d,False,True,False,False,False,False,True,True,False,False,False,False,False
7,14,1,4,1.8,81.6,1,0,41.9,29.4,39.2,39.1,f,True,False,False,False,True,False,False,False,False,False,False,False,True
8,18,1,4,5.6,59.4,1,1,56.7,60.1,53.4,69.6,d,True,False,False,False,False,False,True,False,True,False,False,False,False
9,15,1,1,3.2,89.6,1,1,54.1,59.5,38.3,55.2,d,False,False,True,True,False,False,False,False,False,True,False,False,False
10,14,0,2,6.8,62.4,1,0,71.9,70.4,81.3,69.6,d,True,False,False,False,False,False,True,False,False,True,False,False,False
11,17,1,3,6.1,90.5,1,0,75.4,82.7,70.8,77.5,c,True,False,False,True,False,False,False,False,False,False,True,False,False
12,19,0,4,4.0,96.2,1,1,62.0,54.7,58.0,65.0,d,False,False,True,False,False,True,False,False,False,False,True,False,False
13,18,1,1,6.8,58.2,1,0,75.1,80.5,56.2,73.6,c,True,False,False,False,False,False,True,False,False,True,False,False,False
14,18,0,2,1.3,95.9,1,1,33.6,26.8,50.0,42.5,e,False,False,True,False,True,False,False,False,False,False,False,False,True
15,18,0,1,4.9,85.3,1,0,88.1,66.1,70.3,69.3,d,False,False,True,False,False,True,False,True,False,False,False,False,False
16,18,1,4,5.0,94.4,1,1,66.4,76.9,76.1,73.7,c,False,False,True,True,False,False,False,True,False,False,False,False,False
17,17,1,5,2.3,67.3,1,1,63.1,46.3,57.1,53.5,e,False,False,True,False,False,True,False,False,False,True,False,False,False
18,14,0,4,0.9,93.2,1,1,57.2,50.5,54.1,49.8,e,True,False,False,True,False,False,False,False,False,False,False,True,False
19,19,0,4,4.5,73.8,1,1,38.7,69.9,58.3,59.2,d,False,True,False,False,True,False,False,False,False,False,False,True,False
20,16,0,4,4.4,59.5,1,0,49.9,53.9,60.4,61.9,d,True,False,False,False,False,True,False,False,False,True,False,False,False
21,17,1,5,5.4,99.8,1,0,84.9,77.6,77.6,81.3,c,False,True,False,False,False,False,True,False,False,False,False,False,True
22,16,0,2,2.1,97.4,1,1,76.7,31.9,39.3,55.0,d,True,False,False,False,False,False,True,False,True,False,False,False,False
23,15,0,1,1.8,56.2,0,1,41.3,35.2,19.9,33.5,f,False,False,True,False,True,False,False,False,False,False,False,True,False
24,19,0,5,7.8,72.8,1,1,100.0,100.0,100.0,94.6,b,True,False,False,True,False,False,False,False,False,False,True,False,False
25,18,0,0,1.4,99.3,1,0,38.9,31.2,57.3,41.4,e,False,True,False,False,False,True,False,False,False,True,False,False,False
26,17,1,2,8.0,77.4,1,0,100.0,87.7,69.3,92.5,b,False,True,False,False,False,False,True,True,False,False,False,False,False
27,16,0,4,5.9,74.9,1,0,94.6,92.8,86.9,82.5,c,False,False,True,True,False,False,False,False,False,False,False,False,True
28,18,1,4,5.2,59.8,1,1,42.9,89.9,63.4,75.4,c,False,False,True,False,False,True,False,False,False,False,False,False,True
29,17,1,4,3.0,71.0,1,0,40.5,44.5,68.1,45.1,e,True,False,False,True,False,False,False,False,False,True,False,False,False
30,16,0,2,7.0,74.9,1,1,76.1,73.5,71.7,82.6,c,False,False,True,False,False,False,True,False,False,False,False,False,True
31,16,1,5,7.3,85.7,1,1,79.6,86.0,95.4,90.4,b,False,False,True,False,True,False,False,False,True,False,False,False,False
32,15,1,1,5.9,72.5,1,1,79.3,82.5,77.4,77.1,c,True,False,False,False,False,False,True,False,False,False,False,False,True
33,14,1,0,5.8,81.7,1,1,94.5,72.1,84.8,78.8,c,False,True,False,False,True,False,False,False,False,False,True,False,False
34,17,0,3,4.2,55.1,0,0,60.5,57.4,72.9,62.2,d,False,False,True,True,False,False,False,True,False,False,False,False,False
35,19,0,1,1.1,88.2,1,0,39.8,39.6,36.5,46.9,e,True,False,False,False,True,False,False,True,False,False,False,False,False
36,14,1,2,8.0,50.2,1,0,93.1,99.8,100.0,90.4,b,False,False,True,False,True,False,False,False,False,False,False,True,False
37,19,0,2,0.6,82.1,1,0,45.9,43.5,35.0,42.0,e,False,False,True,False,False,False,True,True,False,False,False,False,False
38,18,0,1,4.2,91.3,1,0,82.4,73.5,61.7,79.0,c,True,False,False,True,False,False,False,False,False,False,True,False,False
39,15,1,5,3.3,88.3,1,1,53.5,67.4,61.7,66.5,d,True,False,False,True,False,False,False,False,False,False,True,False,False
